,title,date,author,link
0,អង្គការសិទ្ធិមនុស្ស ចាត់ទុកការផ្តន្ទាទោសលោក នី ណាក់ ជាប់ពន្ធនាគារ ២ឆ្នាំ ជាការរឹតត្បិតសិទ្ធបញ្ចេញមតិ,"November 22, 2024",ជា សុខនី,https://wmc.org.kh/article/121304/%e1%9e%a2%e1%9e%84%e1%9f%92%e1%9e%82%e1%9e%80%e1%9e%b6%e1%9e%9a%e1%9e%9f%e1%9e%b7%e1%9e%91%e1%9f%92%e1%9e%92%e1%9e%b7%e1%9e%98%e1%9e%93%e1%9e%bb%e1%9e%9f%e1%9f%92%e1%9e%9f-%e1%9e%85%e1%9e%b6%e1%9e%8f/
1,ប្រាសាទសំបូរខេត្តកំពង់ធំ ជាស្រុកដំបូងគេលុបបំបាត់ការបន្ទោបង់ពាសវាលពាសកាល,"November 22, 2024",ជា សុខនី,https://wmc.org.kh/article/121280/%e1%9e%94%e1%9f%92%e1%9e%9a%e1%9e%b6%e1%9e%9f%e1%9e%b6%e1%9e%91%e1%9e%9f%e1%9f%86%e1%9e%94%e1%9e%bc%e1%9e%9a%e1%9e%81%e1%9f%81%e1%9e%8f%e1%9f%92%e1%9e%8f%e1%9e%80%e1%9f%86%e1%9e%96%e1%9e%84%e1%9f%8b/
2,មន្ទីរសុខាភិបាលខេត្តប្តេជ្ញាពិនិត្យមិនឱ្យចន្លោះ ករណីយកសពអ្នកជំងឺ និងក្មួយស្រីផ្លុងចោលក្នុងព្រៃ,"November 22, 2024",ជា សុខនី,https://wmc.org.kh/article/121275/%e1%9e%98%e1%9e%93%e1%9f%92%e1%9e%91%e1%9e%b8%e1%9e%9a%e1%9e%9f%e1%9e%bb%e1%9e%81%e1%9e%b6%e1%9e%97%e1%9e%b7%e1%9e%94%e1%9e%b6%e1%9e%9b%e1%9e%81%e1%9f%81%e1%9e%8f%e1%9f%92%e1%9e%8f%e1%9e%94%e1%9f%92/
3,បញ្ហាសំរាមពេលបុណ្យអុំទូកហាក់ប្រសើរជាងមុន តែទាមទារឱ្យពលរដ្ឋចូលរួមបន្ថែម,"November 20, 2024",កែវ សុជាតា,https://wmc.org.kh/article/121254/%e1%9e%94%e1%9e%89%e1%9f%92%e1%9e%a0%e1%9e%b6%e1%9e%9f%e1%9f%86%e1%9e%9a%e1%9e%b6%e1%9e%98%e1%9e%94%e1%9e%bb%e1%9e%8e%e1%9f%92%e1%9e%99%e1%9e%a2%e1%9e%bb%e1%9f%86%e1%9e%91%e1%9e%bc%e1%9e%80/
4,កម្មវិធីផ្តល់អាហារនៅសាលារៀនដោយប្រើប្រាស់កសិផលសហគមន៍ ក្រៅពីលើកកម្ពស់អាហារូបត្ថម្ភ ក៏ជាឱកាសចំណូលដល់ប្រជាកសិករ,"November 20, 2024",ជា សុខនី,https://wmc.org.kh/article/121255/%e1%9e%80%e1%9e%98%e1%9f%92%e1%9e%98%e1%9e%9c%e1%9e%b7%e1%9e%92%e1%9e%b8%e1%9e%95%e1%9f%92%e1%9e%8f%e1%9e%9b%e1%9f%8b%e1%9e%a2%e1%9e%b6%e1%9e%a0%e1%9e%b6%e1%9e%9a%e1%9e%93%e1%9f%85%e1%9e%9f%e1%9e%b6/
5,គុណតម្លៃ៥ចំណុច នៃការសិក្សាស្រាវជ្រាវបុរាណវត្ថុវិទ្យា,"November 19, 2024",វ៉ាយ វត្តី,https://wmc.org.kh/article/121242/%e1%9e%82%e1%9e%bb%e1%9e%8e%e1%9e%8f%e1%9e%98%e1%9f%92%e1%9e%9b%e1%9f%83%e1%9f%a5%e1%9e%85%e1%9f%86%e1%9e%8e%e1%9e%bb%e1%9e%85-%e1%9e%93%e1%9f%83%e1%9e%80%e1%9e%b6%e1%9e%9a%e1%9e%9f%e1%9e%b7%e1%9e%80/
6,កម្ពុជាបេ្តជា្ញចិត្ត ក្នុងការទប់ស្កាត់ការកកើនកម្តៅ និងការប្រែប្រួលអាកាសធាតុនៅក្នុងសន្និសីទកំពូលCOP29,"November 19, 2024",វ៉ាយ វត្តី,https://wmc.org.kh/article/121237/%e1%9e%80%e1%9e%98%e1%9f%92%e1%9e%96%e1%9e%bb%e1%9e%87%e1%9e%b6%e1%9e%94%e1%9f%81%e1%9f%92%e1%9e%8f%e1%9e%87%e1%9e%b6%e1%9f%92%e1%9e%89%e1%9e%85%e1%9e%b7%e1%9e%8f%e1%9f%92%e1%9e%8f-%e1%9e%80%e1%9f%92/
7,ដូចការរំពឹងទុក៖ ទូក «ចន្ទតារារស្មីបារមីវត្តសម្តេចចៅហ្វាជួន» ខេត្តកំពង់ឆ្នាំងឈ្នះផែនលេខ១,"November 18, 2024",កែវ សុជាតា,https://wmc.org.kh/article/121223/%e1%9e%94%e1%9f%92%e1%9e%9a%e1%9e%8e%e1%9e%b6%e1%9f%86%e1%9e%84%e1%9e%91%e1%9e%bc%e1%9e%80-%e1%9e%a2%e1%9e%bb%e1%9f%86%e1%9e%91%e1%9e%bc%e1%9e%80%e1%9f%a2%e1%9f%a0%e1%9f%a2%e1%9f%a4/
8,មនុស្សវ័យចាស់ក្នុងភូមិក្រាំងស្វាតអំពាវនាវដល់អ្នកពាក់ព័ន្ធអន្តរាគមន៍ជួយទីជម្រកសមរម្យ,"November 17, 2024",វ៉ាយ វត្តី,https://wmc.org.kh/article/121206/%e1%9e%98%e1%9e%93%e1%9e%bb%e1%9e%9f%e1%9f%92%e1%9e%9f%e1%9e%9c%e1%9f%90%e1%9e%99%e1%9e%85%e1%9e%b6%e1%9e%9f%e1%9f%8b%e1%9e%80%e1%9f%92%e1%9e%93%e1%9e%bb%e1%9e%84%e1%9e%97%e1%9e%bc%e1%9e%98%e1%9e%b7/
9,កម្លាំងបោសសម្អាតមីនរំដោះគ្រាប់ ៦០មីលីម៉ែត្រក្រោយពលរដ្ឋនិងអ្នកសារព័ត៌មានរាយការណ៍,"November 13, 2024",កែវ សុខា,https://wmc.org.kh/article/121201/60-mm-demining-force-after-citizens-and-journalists-report/
10,រោងចក្រផលិតសំបកកង់នៅកម្ពុជាចំនួន៣កែច្នៃជ័រកៅស៊ូបាន ២០ម៉ឺនតោនក្នុងមួយឆ្នាំ,"November 12, 2024",ជា សុខនី,https://wmc.org.kh/article/121193/%e1%9e%9a%e1%9f%84%e1%9e%84%e1%9e%85%e1%9e%80%e1%9f%92%e1%9e%9a%e1%9e%95%e1%9e%9b%e1%9e%b7%e1%9e%8f%e1%9e%9f%e1%9f%86%e1%9e%94%e1%9e%80%e1%9e%80%e1%9e%84%e1%9f%8b%e1%9e%93%e1%9f%85%e1%9e%80%e1%9e%98/
11,តុលាការស្វាយរៀង ច្រានចោលសំណើនៅក្រៅឃុំលោក ជា ចាន់ថា រង់ចាំជំនុំជម្រះនៅចុងខែវិច្ឆិកា,"November 12, 2024",ជា សុខនី,https://wmc.org.kh/article/121189/%e1%9e%8f%e1%9e%bb%e1%9e%9b%e1%9e%b6%e1%9e%80%e1%9e%b6%e1%9e%9a%e1%9e%9f%e1%9f%92%e1%9e%9c%e1%9e%b6%e1%9e%99%e1%9e%9a%e1%9f%80%e1%9e%84-%e1%9e%85%e1%9f%92%e1%9e%9a%e1%9e%b6%e1%9e%93%e1%9e%85%e1%9f%84/
12,​មេភូមិក្រសាំងកធ្លាក់ពីដំណែងក្រោយបោះឆ្នោតខណៈធ្លាប់មានរឿងអាស្រូវនាំឱ្យពលរដ្ឋថ្នាំងថ្នាក់,"November 12, 2024",កែវ សុខា,https://wmc.org.kh/article/121181/krasaing-village-chief-resigns-after-election-amid-scandal/
13,ពលរដ្ឋប្រទះឃើញគ្រាប់មិនទាន់ផ្ទុះមួយគ្រាប់ខណៈរង់ចាំសមត្ថកិច្ចជំនាញមករំដោះ,"November 12, 2024",កែវ សុខា,https://wmc.org.kh/article/121172/residents-found-an-unexploded-ordnance-while-waiting-for-the-competent-authorities-to-release/
